trajectory_id,dataset_split,product,season,batch_number,disturbance_type,T_min_K,T_max_K,final_monomer_added_kg,max_reaction_heat_kW,min_U_kW_m2_K,max_viscosity,max_valve_pct,min_valve_pct,max_feed_rate_kg_s,mean_abs_T_error_K,p95_abs_T_error_K,within_0p5K_pct,within_1p0K_pct
0,baseline,A,summer,1,none,294.26,355.8517619440727,45.00044001255032,1.918223643720241,0.2,578.278793860618,51.61108546156373,46.46704198211253,0.0027999999999999,0.19911911183184475,0.5261436275617086,93.97374701670644,100.0
1,baseline,B,summer,2,none,294.26,355.8357283014675,45.00028729954115,1.9214869397891308,0.2,2319.7399075703547,51.5274534346698,46.44413796422481,0.0028466666666666,0.16072341331816423,0.5079788136536649,94.6268656716418,100.0
2,baseline,A,summer,3,none,294.26,355.85167368104914,45.00044001255032,1.9181944604187449,0.2,578.2787938606219,51.6110854921076,46.46705051736519,0.0027999999999999,0.1996385854368392,0.526812404453608,93.91408114558473,100.0
3,baseline,B,summer,4,none,294.26,355.8356816353113,45.00028729954115,1.9214784797617732,0.2,2319.739907570371,51.52745398644194,46.44413944425394,0.0028466666666666,0.16123345372218553,0.5101287794406005,94.6268656716418,100.0
4,baseline,A,summer,5,none,294.26,355.8517307014796,45.00044001255032,1.918182884333508,0.2,578.27879386062,51.61108549908027,46.46705663080835,0.0027999999999999,0.19922605140644212,0.5260460146949754,93.91044776119402,100.0
5,baseline,B,winter,1,none,277.26,355.8012763651508,45.00028729954114,1.9200254704275863,0.2,2319.7399075703797,51.27809493053736,47.44591865803013,0.0028466666666666,0.1661471950127424,0.5463635700913783,93.53083434099153,100.0
6,baseline,A,winter,2,none,277.26,355.8219394533159,45.00044001255032,1.9184981497931488,0.2,578.2787938606539,51.492881216629854,47.24478248516183,0.0027999999999999,0.22127715820691532,0.5558560504390185,92.3262839879154,100.0
7,baseline,B,winter,3,none,277.26,355.80133145750074,45.00028729954114,1.9200190944940232,0.2,2319.7399075703797,51.27808860951213,47.44595137678856,0.0028466666666666,0.16574238034488836,0.5429334562764093,93.58741681790683,100.0
8,baseline,A,winter,4,none,277.26,355.8219341999448,45.00044001255032,1.9184860179326897,0.2,578.2787938606529,51.49287065086229,47.244789273,0.0027999999999999,0.2195512738347454,0.5560304113499339,92.32164449818622,100.0
9,baseline,B,winter,5,none,277.26,355.80132785344887,45.00028729954114,1.920013341406334,0.2,2319.739907570375,51.27807547673991,47.44598225975884,0.0028466666666666,0.16583843229623768,0.5431358849636149,93.58353510895884,100.0
10,baseline,A,summer,1,none,294.26,355.8517619440727,45.00044001255032,1.918223643720241,0.2,578.278793860618,51.61108546156373,46.46704198211253,0.0027999999999999,0.19911911183184475,0.5261436275617086,93.97374701670644,100.0
11,baseline,B,summer,2,none,294.26,355.8357283014675,45.00028729954115,1.9214869397891308,0.2,2319.7399075703547,51.5274534346698,46.44413796422481,0.0028466666666666,0.16072341331816423,0.5079788136536649,94.6268656716418,100.0
12,baseline,A,summer,3,none,294.26,355.85167368104914,45.00044001255032,1.9181944604187449,0.2,578.2787938606219,51.6110854921076,46.46705051736519,0.0027999999999999,0.1996385854368392,0.526812404453608,93.91408114558473,100.0
13,baseline,B,summer,4,none,294.26,355.8356816353113,45.00028729954115,1.9214784797617732,0.2,2319.739907570371,51.52745398644194,46.44413944425394,0.0028466666666666,0.16123345372218553,0.5101287794406005,94.6268656716418,100.0
14,baseline,A,summer,5,none,294.26,355.8517307014796,45.00044001255032,1.918182884333508,0.2,578.27879386062,51.61108549908027,46.46705663080835,0.0027999999999999,0.19922605140644212,0.5260460146949754,93.91044776119402,100.0
15,baseline,B,winter,1,none,277.26,355.8012763651508,45.00028729954114,1.9200254704275863,0.2,2319.7399075703797,51.27809493053736,47.44591865803013,0.0028466666666666,0.1661471950127424,0.5463635700913783,93.53083434099153,100.0
16,baseline,A,winter,2,none,277.26,355.8219394533159,45.00044001255032,1.9184981497931488,0.2,578.2787938606539,51.492881216629854,47.24478248516183,0.0027999999999999,0.22127715820691532,0.5558560504390185,92.3262839879154,100.0
17,baseline,B,winter,3,none,277.26,355.80133145750074,45.00028729954114,1.9200190944940232,0.2,2319.7399075703797,51.27808860951213,47.44595137678856,0.0028466666666666,0.16574238034488836,0.5429334562764093,93.58741681790683,100.0
18,baseline,A,winter,4,none,277.26,355.8219341999448,45.00044001255032,1.9184860179326897,0.2,578.2787938606529,51.49287065086229,47.244789273,0.0027999999999999,0.2195512738347454,0.5560304113499339,92.32164449818622,100.0
19,baseline,B,winter,5,none,277.26,355.80132785344887,45.00028729954114,1.920013341406334,0.2,2319.739907570375,51.27807547673991,47.44598225975884,0.0028466666666666,0.16583843229623768,0.5431358849636149,93.58353510895884,100.0
20,train,A,winter,3,feed_temp,277.26,355.8302386000369,44.999999999999964,1.6705238830009943,0.2,578.2605840699134,51.23913309640576,47.98266684426815,0.0024435194454739,0.10043013372987895,0.27268770363178585,99.63235294117648,100.0
21,train,B,winter,3,none,277.26,355.85434346325843,45.00045512611583,1.83278813048842,0.2259744636961024,2319.7733758718878,51.49602471095496,47.76181846083255,0.0026864592471988,0.09657156456443607,0.32077414807151544,99.22062350119904,100.0
22,train,B,summer,4,none,294.26,355.7857077851011,45.00012921846019,1.6645078978147088,0.2,2319.708383071862,51.05687889687599,47.534617253436096,0.0024344652908265,0.1387706339962166,0.4483601772207967,96.64067186562687,100.0
23,train,A,winter,3,none,277.26,355.7204584155897,45.00000375328412,1.793113894126677,0.2,578.2607393966372,51.33041390826393,47.43254370944963,0.0026454966433131,0.28697736968312454,0.887727334996844,78.31912302070646,97.13763702801461
24,train,A,summer,4,none,294.26,355.855628448768,45.000779554597706,2.0676426206564527,0.2,578.2928459903009,51.48114573674293,46.99032040219942,0.0030207369185909,0.10300921399374163,0.36494851449367616,98.56373429084381,100.0
25,train,A,summer,3,none,294.26,355.82523657319086,45.00111335794823,1.845777170396564,0.2180311186508692,578.3066608598813,51.859083232108325,45.87891130976679,0.0027041252894833,0.2640542176385435,0.8900706547207449,83.62989323843416,96.1447212336892
26,train,A,winter,1,none,277.26,355.8589167407475,45.00013357759684,2.251187843975788,0.2,578.2661120961244,52.06403764992926,47.20861407095768,0.0033080781487008,0.2063798199313009,0.6421864533703,92.02678027997565,98.66098600121728
27,train,A,summer,5,none,294.26,355.8057012425509,45.00000000000002,1.6544861384929526,0.2284001203833398,578.2605840698374,51.26768564757878,46.96442313581936,0.0024223099069973,0.1221984019461408,0.3866799680779251,97.91044776119404,100.0
28,train,A,summer,4,none,294.26,355.8199622140805,45.00373342497576,2.227501163001329,0.2,578.4151038391071,52.28094364703131,45.95348503082241,0.0032894946437425,0.21609028035903094,0.5839892015021575,92.65671641791045,100.0
29,train,A,summer,1,none,294.26,355.8484610979162,45.00000013129114,1.9456971560914416,0.2030125203061904,578.2605895032162,51.351556263790044,47.21907763677755,0.0028472784536721,0.07886835051593627,0.2958125323160402,99.45945945945947,100.0
30,train,A,summer,2,none,294.26,355.83459869046914,45.00000053310352,1.7449424564381044,0.2048932897622611,578.2607763186671,51.733574944491785,46.58924115959992,0.0025445978018094,0.1952319141393203,0.5617248915143502,91.96642685851319,100.0
31,train,A,summer,3,none,294.26,355.78439649929163,45.00031695196921,2.0376562151542243,0.2,578.2737009929804,51.2475334331221,46.66331812936432,0.0029762441708076,0.12164917107046981,0.4285617716962972,97.3621103117506,100.0
32,train,A,summer,5,none,294.26,355.8215946795766,45.00046755253975,2.0188182284535263,0.2,578.2799336086886,51.83463499121872,46.57308822669492,0.0029621426507405,0.23241045854362838,0.8031075795791053,85.51847437425506,97.67580452920143
33,train,A,winter,5,none,277.26,355.8088934000407,45.00007249281437,1.8274686203839243,0.2,578.2635841354402,51.46939685771413,46.95775139909,0.0027080365988528,0.24743436346427453,0.6851983523506561,87.07317073170732,99.8170731707317
34,train,A,summer,5,none,294.26,355.8135259627221,45.00028277676415,1.9019567282876175,0.2282204808526021,578.272286656277,51.322510442842656,46.66351967146458,0.0028302528732607,0.27468457165626103,0.7147899764312,85.39192399049881,99.58432304038006
35,train,A,winter,3,none,277.26,355.81680793392155,45.000401787334056,2.026697080321116,0.2,578.2772119048956,51.50682015245875,47.47441646503046,0.0030030580557706,0.18545909749747574,0.5085689255941304,94.6341463414634,99.63414634146342
36,train,A,summer,4,feed_temp,294.26,355.81166660667384,45.00044404553509,2.063923719504086,0.2006433236400001,578.3152364582473,51.58837036863952,46.28068100769168,0.0030443498524133,0.2709474948395774,0.8480879253634322,82.66346730653869,96.76064787042591
37,train,B,winter,4,cooling_water,277.26,355.8071506354066,45.002851157355785,2.1916329606594647,0.2,2320.251237357432,51.48412765938439,47.39721742564665,0.0032058734851652,0.12535751613020146,0.4610117359624496,96.02203182374541,99.69400244798041
38,train,A,summer,5,none,294.26,355.8090313275299,45.00000419638142,2.236165046237085,0.2144933567037455,578.2607577339317,51.148424715874384,47.30514341306488,0.003255949347405,0.11737047321535596,0.3939830019836789,97.5103734439834,100.0
39,train,A,summer,5,none,294.26,355.8509658050868,45.0001091575668,2.188278472980669,0.2,578.2651014854049,51.41557414607566,46.85135120494092,0.0031889255482723,0.08880813155124043,0.2675049302656901,99.70023980815348,100.0
40,train,B,winter,2,none,277.26,355.8029219653789,45.00171099252686,2.1506703703212158,0.2079791095136547,2320.3316308559724,51.362542382363394,47.509050232095454,0.0031357991526445,0.11857723264017561,0.45021029754212805,96.3275135460566,100.0
41,train,B,summer,3,none,294.26,355.81282910550453,45.00139290916151,2.170761672065665,0.2025337710267114,2319.9603971869533,51.56255017463245,46.841063992743535,0.003164914173293,0.35375941211306394,1.3946690928512593,79.10714285714285,88.63095238095238
42,train,A,summer,4,none,294.26,355.8191844903984,45.00168709527226,2.308331447570946,0.2,578.3304062506448,51.57893584107863,46.25367546164835,0.0033786683972491,0.3297129755228071,1.0573079127908327,79.20143027413587,93.3849821215733
43,train,A,winter,3,none,277.26,355.81140710256733,45.00010166866748,2.185233729505183,0.2016994615779029,578.2647915613654,51.33189484967334,47.21526378127103,0.0031897665628802,0.13838110891735594,0.4328187733615209,96.6867469879518,100.0
44,train,A,winter,3,none,277.26,355.8391883403212,45.00042827846743,1.7401288828158468,0.2,578.2783082436733,51.51325753406116,47.56950085449507,0.0025462601107484,0.17962471741699754,0.5178525621391713,94.43436176648518,100.0
