trajectory_id,regime_id,run_length_windows
0,6,53
0,5,1
0,6,3
0,5,52
0,7,9
0,2,1
0,7,8
0,2,1
0,7,3
0,2,1
0,7,4
0,2,1
0,7,4
0,2,1
0,7,4
0,2,1
0,7,2
0,2,2
0,7,2
0,2,64
1,6,44
1,5,1
1,6,1
1,5,63
1,7,3
1,4,105
2,6,57
2,5,52
2,7,18
2,2,1
2,7,3
2,2,1
2,7,4
2,2,1
2,7,4
2,2,1
2,7,4
2,2,1
2,7,2
2,2,2
2,7,2
2,2,64
3,6,44
3,5,65
3,7,4
3,4,104
4,6,57
4,5,52
4,7,18
4,2,1
4,7,3
4,2,1
4,7,4
4,2,1
4,7,4
4,2,1
4,7,4
4,2,1
4,7,2
4,2,2
4,7,2
4,2,64
5,1,50
5,0,3
5,1,2
5,0,57
5,7,5
5,4,100
6,1,60
6,0,1
6,1,4
6,0,47
6,7,3
6,3,2
6,7,1
6,3,2
6,7,2
6,3,1
6,7,2
6,3,1
6,7,2
6,3,5
6,7,1
6,3,2
6,7,1
6,3,2
6,7,1
6,3,4
6,7,2
6,3,2
6,7,2
6,3,3
6,7,2
6,3,3
6,7,2
6,3,2
6,7,1
6,3,3
6,7,1
6,3,4
6,7,1
6,3,45
7,1,50
7,0,3
7,1,2
7,0,57
7,7,5
7,4,100
8,1,65
8,0,47
8,7,3
8,3,2
8,7,2
8,3,1
8,7,2
8,3,1
8,7,1
8,3,3
8,7,1
8,3,3
8,7,1
8,3,1
8,7,2
8,3,4
8,7,2
8,3,3
8,7,2
8,3,2
8,7,1
8,3,4
8,7,2
8,3,3
8,7,2
8,3,6
8,7,2
8,3,49
9,1,50
9,0,5
9,1,1
9,0,56
9,7,5
9,4,100
10,6,53
10,5,1
10,6,3
10,5,52
10,7,9
10,2,1
10,7,8
10,2,1
10,7,3
10,2,1
10,7,4
10,2,1
10,7,4
10,2,1
10,7,4
10,2,1
10,7,2
10,2,2
10,7,2
10,2,64
11,6,44
11,5,1
11,6,1
11,5,63
11,7,3
11,4,105
12,6,57
12,5,52
12,7,18
12,2,1
12,7,3
12,2,1
12,7,4
12,2,1
12,7,4
12,2,1
12,7,4
12,2,1
12,7,2
12,2,2
12,7,2
12,2,64
13,6,44
13,5,65
13,7,4
13,4,104
14,6,57
