model,regime_id,split,n_samples,rmse,mae,r2,complexity,equation
global,global,train,26040,0.035078504380811004,0.02938937421634086,0.9899383073227044,8,dTdt_K_min = 0.0382078 + 0.0945202*z(Q_reaction_kW) + 0.170078*z(Q_jacket_kW) + 0.0900033*z(Q_total_kW) - 0.0177227*z(heating_load_kW) + 0.0542428*z(inv_viscosity) - 0.0485583*z(U_over_viscosity) + 0.130937*z(Q_total_times_U) + 0.0277323*z(Q_jacket_kW^2)
regime_conditioned,piecewise,train,26040,0.021555041009837926,0.008630560488014109,0.9962008484477073,54,piecewise law selected by PI-MambaRegime regime_id
global,global,val,6510,0.03509069076380478,0.028781391231970113,0.9886466238738648,8,dTdt_K_min = 0.0382078 + 0.0945202*z(Q_reaction_kW) + 0.170078*z(Q_jacket_kW) + 0.0900033*z(Q_total_kW) - 0.0177227*z(heating_load_kW) + 0.0542428*z(inv_viscosity) - 0.0485583*z(U_over_viscosity) + 0.130937*z(Q_total_times_U) + 0.0277323*z(Q_jacket_kW^2)
regime_conditioned,piecewise,val,6510,0.022538286217369086,0.00910220334917056,0.9953163657790681,54,piecewise law selected by PI-MambaRegime regime_id
global,global,test,6510,0.032712934402857004,0.02772179292977913,0.9894448292576163,8,dTdt_K_min = 0.0382078 + 0.0945202*z(Q_reaction_kW) + 0.170078*z(Q_jacket_kW) + 0.0900033*z(Q_total_kW) - 0.0177227*z(heating_load_kW) + 0.0542428*z(inv_viscosity) - 0.0485583*z(U_over_viscosity) + 0.130937*z(Q_total_times_U) + 0.0277323*z(Q_jacket_kW^2)
regime_conditioned,piecewise,test,6510,0.018516373986101013,0.007637759533751561,0.9966182761131472,54,piecewise law selected by PI-MambaRegime regime_id
global,global,ood,4340,0.03400301051738434,0.027843286344650914,0.9888193602509943,8,dTdt_K_min = 0.0382078 + 0.0945202*z(Q_reaction_kW) + 0.170078*z(Q_jacket_kW) + 0.0900033*z(Q_total_kW) - 0.0177227*z(heating_load_kW) + 0.0542428*z(inv_viscosity) - 0.0485583*z(U_over_viscosity) + 0.130937*z(Q_total_times_U) + 0.0277323*z(Q_jacket_kW^2)
regime_conditioned,piecewise,ood,4340,0.028030040189958316,0.010783709717306791,0.9924023487303634,54,piecewise law selected by PI-MambaRegime regime_id
global,global,baseline,4340,0.03112974851886003,0.028053240061995628,0.9896632657909816,8,dTdt_K_min = 0.0382078 + 0.0945202*z(Q_reaction_kW) + 0.170078*z(Q_jacket_kW) + 0.0900033*z(Q_total_kW) - 0.0177227*z(heating_load_kW) + 0.0542428*z(inv_viscosity) - 0.0485583*z(U_over_viscosity) + 0.130937*z(Q_total_times_U) + 0.0277323*z(Q_jacket_kW^2)
regime_conditioned,piecewise,baseline,4340,0.01988154351998075,0.01058547182658229,0.9957836920708543,54,piecewise law selected by PI-MambaRegime regime_id
regime_specific,0,train,3518,0.011853563782268092,0.007259942735083889,0.9985701436800093,4,dTdt_K_min = 0.000659002 + 0.00775571*z(Q_jacket_kW) + 0.257699*z(Q_total_kW) + 0.000883143*z(jacket_times_U) + 0.0497743*z(Q_total_times_U)
regime_specific,0,val,979,0.011981847652632696,0.007858893167769459,0.9981557937436233,4,dTdt_K_min = 0.000659002 + 0.00775571*z(Q_jacket_kW) + 0.257699*z(Q_total_kW) + 0.000883143*z(jacket_times_U) + 0.0497743*z(Q_total_times_U)
regime_specific,0,test,587,0.013566602829133962,0.008527662466362197,0.9984073015254827,4,dTdt_K_min = 0.000659002 + 0.00775571*z(Q_jacket_kW) + 0.257699*z(Q_total_kW) + 0.000883143*z(jacket_times_U) + 0.0497743*z(Q_total_times_U)
regime_specific,0,ood,743,0.014558073992403296,0.009467798567195623,0.9965829188254816,4,dTdt_K_min = 0.000659002 + 0.00775571*z(Q_jacket_kW) + 0.257699*z(Q_total_kW) + 0.000883143*z(jacket_times_U) + 0.0497743*z(Q_total_times_U)
regime_specific,1,train,3723,0.048688902085890766,0.031229446481018382,0.9942079233780986,8,dTdt_K_min = 0.181273 + 0.263004*z(Q_jacket_kW) + 0.130545*z(Q_total_kW) + 0.0564622*z(inv_viscosity) - 0.0563356*z(U_over_viscosity) - 0.221784*z(jacket_times_U) + 0.455967*z(Q_total_times_U) - 0.0588368*z(Q_total_kW^2) + 0.0459766*z(Q_jacket_kW^2)
regime_specific,1,val,1153,0.04904764604192619,0.031647490291069544,0.9935286701392629,8,dTdt_K_min = 0.181273 + 0.263004*z(Q_jacket_kW) + 0.130545*z(Q_total_kW) + 0.0564622*z(inv_viscosity) - 0.0563356*z(U_over_viscosity) - 0.221784*z(jacket_times_U) + 0.455967*z(Q_total_times_U) - 0.0588368*z(Q_total_kW^2) + 0.0459766*z(Q_jacket_kW^2)
regime_specific,1,test,519,0.04770287023989482,0.03171524754860606,0.9951821481721445,8,dTdt_K_min = 0.181273 + 0.263004*z(Q_jacket_kW) + 0.130545*z(Q_total_kW) + 0.0564622*z(inv_viscosity) - 0.0563356*z(U_over_viscosity) - 0.221784*z(jacket_times_U) + 0.455967*z(Q_total_times_U) - 0.0588368*z(Q_total_kW^2) + 0.0459766*z(Q_jacket_kW^2)
